experiment_id,experiment,reviewers_addressed,priority,structural_scope,experimental_unit,target_model_seeds,data_split_seeds,attack_seeds,simulator_seeds,record_bootstrap_replicates,structural_configuration_handling,metrics,aggregation_method,ci_95_method,hypothesis,planned_table,planned_plot,low_fpr_policy,estimated_runs,status_notes
E1,Matched Z–ZZ retraining verification and scalar MIA,Area Chair; Epmi; nVBH,P0,"7 preselected matched Z–ZZ pairs × 2 encoders × 3 target-model seeds; complete all 42 target runs, including 6 missing MNIST runs.","For target utility: one independently trained target model. For the encoder contrast: one matched pair × target-model seed, with Z and ZZ kept paired.","3 model-initialization/training seeds: 43,44,45; data split held fixed.",1 fixed split per dataset for this experiment.,0 for scalar AUC; threshold-dependent metrics use deterministic cross-fitting with a fixed fold seed.,0; exact/noiseless inference.,"5000 stratified record bootstraps within each target, resampling members and non-members separately.","Do not pool the 42 targets as independent structural evidence. Compute per-target metrics, paired Z−ZZ differences within pair and seed, then cluster-bootstrap matched-pair IDs while retaining all seeds within each pair.",Train accuracy/loss; test accuracy/loss; generalization gap; ROC AUC; cross-fitted balanced accuracy; cross-fitted membership advantage; TPR@10% FPR primary and TPR@5% FPR secondary.,Per target: metrics from raw member/non-member records. Per pair: mean±SD across 3 target seeds. Global residual encoder effect: mean paired Z−ZZ difference across pair-level seed means.,"Per-target AUC: stratified percentile bootstrap over records. Aggregate Z−ZZ effect: 5000-replicate cluster percentile bootstrap over matched-pair IDs, preserving all target seeds and pairing. Report seed SD separately; do not label record-bootstrap CI as seed uncertainty.","After verifying similar retrained train/test behavior and gap, residual Z-versus-ZZ MIA differences should be small; this supports encoder-induced, overfitting-mediated leakage rather than an independent encoder-family effect.","Table MG-1: pair/seed train, test, gap and matching tolerances. Table MG-2: encoder-wise MIA mean±SD and paired Z−ZZ differences with cluster-bootstrap 95% CI.","Paired-dot plot of Z versus ZZ AUC by matched pair, with thin lines for target seeds and thick pair means; separate panel for retrained gap difference.","Do not report TPR@0.1% or 1%. With 50 non-members, FPR resolution is 2%; with 100, it is 1%. Use 10% as primary common operating point and 5% as secondary.","42 total target trainings; 36 complete, 6 MNIST runs remain.","Matching is not considered validated until retrained train/test metrics are extracted. Predeclare matching tolerances, e.g. |Δgap|≤0.02 primary and ≤0.05 sensitivity."
E2,High-risk versus low-risk threshold-MIA contrast,Area Chair; Epmi; 1myw; nVBH,P0,Use all completed predeclared high-risk and low-risk configurations from the matched target table; preserve every selected target and seed.,"One structural high/low comparison block, with all target seeds retained inside the block.","3: 43,44,45.",1 fixed split.,0 for scalar AUC; deterministic cross-fitting for threshold-dependent metrics.,0.,5000 per target for AUC and curve-derived metrics.,"Aggregate first within target seed and structure. For global high−low effects, use a hierarchical bootstrap over dataset/configuration blocks and then target seeds; never treat the six attack scores or record bootstraps as independent models.",Loss AUC primary; correctness AUC; one representative confidence-family AUC; balanced accuracy; membership advantage; TPR@10% and TPR@5%.,"Report each dataset/encoder block and an overall high−low mean difference. Confidence, entropy, margin and maximum probability are grouped as one confidence-family result for binary tasks when their rankings are identical.","Per-target stratified record bootstrap. Overall high−low contrast: 5000-replicate hierarchical percentile bootstrap over structural blocks with seeds nested. Because the number of blocks is small, also report all block-level effects and mean±SD.","Predeclared high-risk configurations have stronger MIA than low-risk configurations, consistent with the structural-risk proxy.","Table HR-1: high versus low MIA metrics by dataset and encoder, with mean±SD across target seeds and aggregate paired difference.",Grouped point/interval plot of high- and low-risk loss AUC; show individual target seeds rather than only bars.,TPR@10% primary; TPR@5% secondary; suppress 0.1% and 1%.,No extra runs beyond completion of E1.,"This is supportive evidence, not a causal test of encoder family independent of the gap."
E3,Pre-specified multi-seed feature-map × repetition × depth factorial subset,Area Chair; Epmi; nVBH,P1,"MNIST-QNN: 3 feature maps × reps {1,5} × depth {2,6} × 3 target seeds = 36 trained targets.",One independently trained target model; target seeds are nested within one of 12 structural cells.,"3 model seeds: 43,44,45 with one fixed data split.",1 fixed split in the primary factorial.,0 for threshold AUC.,0.,5000 per target.,Compute cell means over target seeds. Main effects are paired contrasts across matched structural cells. Cluster/hierarchical bootstrap structural cells and retain all seeds; do not count three seeds as three different structural configurations.,Train/test accuracy and loss; gap; loss AUC; confidence-family AUC; correctness AUC; balanced accuracy; membership advantage; TPR@10% and TPR@5%; parameter and gate counts.,Per cell: mean±SD across 3 target seeds. Repetition effect: r5−r1 within feature-map×depth blocks. Depth effect: d6−d2 within feature-map×repetition blocks. Encoder effects: pairwise contrasts within repetition×depth blocks.,"5000-replicate hierarchical percentile bootstrap: resample matched structural contrast blocks, then resample target seeds within selected blocks. Report raw block effects and seed SD because only 4–6 blocks support each contrast.",Repetition produces larger adverse changes in gap/test utility and MIA than depth in the controlled subset; encoder-family effects are dataset/configuration dependent rather than universal.,"Table F-1: 12 cells with mean±SD. Table F-2: paired main-effect contrasts for repetition, depth and feature-map family with bootstrap 95% CIs.","Interaction plots for gap and AUC versus repetitions, faceted by feature map and depth, with points for target seeds and mean±SD error bars.",10% primary and 5% secondary unless the non-member count is enlarged. Do not display 0.1% or 1%.,36 target trainings.,"All 36 outcomes must be reported, including failed or near-chance attacks; no outcome-based filtering."
E4,Target-model data-split sensitivity subset,nVBH; Area Chair,P1 conditional,"6 MNIST-QNN cells: 3 feature maps × reps {1,5} at one predeclared depth, evaluated on 3 data-split seeds.",One target model trained on one independently generated/sampled data split.,1 fixed model seed (43) to isolate split variability.,"3 split seeds, e.g. 101,102,103.",0 for threshold AUC.,0.,5000 per target.,Pair structural comparisons within the same split seed. Do not combine this variation with target-initialization SD from E3.,Train/test accuracy and loss; gap; loss AUC; confidence-family AUC; correctness AUC; balanced accuracy; membership advantage.,Per structural cell: mean±SD across split seeds. Repetition and encoder contrasts are paired within split seed.,"With only 3 split seeds, use mean±SD as the primary variability summary. For aggregate paired effects, use a 5000-replicate paired bootstrap over split seeds and structural blocks, labeled exploratory.",The direction of the principal encoder/repetition trends is not an artifact of one train/test split.,Table S-1: split-seed target metrics and paired structural effects.,Slope plot showing r1→r5 changes for each split seed and encoder.,Same common operating points as E3.,18 target trainings.,"Run only after code exposes separate data and model seeds. If not run, explicitly state that all main comparisons use a fixed split and do not estimate split variability."
E5,Multi-seed direct encoder-geometry analysis,Epmi; nVBH; Area Chair,P0,"Moons and MNIST × Z/ZZ/effSU2 × reps {1,5} × 3 data seeds = 36 encoder-only evaluations.",One encoder geometry computed on one dataset realization/split; no target training.,Not applicable.,"3: 43,44,45, using the same train/test sampling rules for all encoders within each seed.",Not applicable.,Not applicable for exact statevector geometry.,Optional 2000 record-pair bootstraps within each geometry run for similarity metrics; this is secondary to data-seed variability.,Keep encoder/repetition comparisons paired within dataset seed. Add class-similarity gap = within-class similarity − between-class similarity.,"Train–train, train–test and test–test similarity; class-similarity gap; MMD²; centered kernel-label alignment; effective rank.",Per dataset×encoder×repetition cell: mean±SD across 3 data seeds. Repetition effect: r5−r1 paired within dataset×encoder×seed.,"Primary display: mean±SD across data seeds. Aggregate repetition effects: 5000-replicate paired/hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested. Per-cell bootstrap CI across only 3 seeds must be labeled exploratory, not definitive.","Increasing repetitions raises effective rank and reduces class-aligned geometry, while train/test MMD remains near zero; this supports the encoder→geometry→generalization pathway rather than direct pre-training membership separation.","Table G-1: geometry mean±SD by dataset, encoder and reps. Table G-2: paired r5−r1 effects with bootstrap CIs.","Three separate figures: effective rank, kernel-label alignment, and class-similarity gap versus repetitions, with individual seed points and mean±SD.",Not applicable.,"36 encoder-only evaluations; 12 already exist for one seed, so 24 new evaluations if seed 43 is reproducible.","Geometry uncertainty captures dataset sampling/split variation, not target-model training stochasticity."
E6,Backend-derived noisy finite-shot sanity check,Area Chair; 1myw; Epmi,P0,"Three predeclared saved target checkpoints representing low-, medium- and high-risk configurations; same samples and checkpoints under exact, ideal finite-shot, and backend-noisy finite-shot conditions.","One simulator seed applied to one fixed target checkpoint, shot count and execution mode. The target checkpoint is held fixed; simulator replicates are not target-model replicates.","1 fixed target-model checkpoint per risk regime, preferably the same predeclared target seed (43) for all three.",Fixed to the checkpoint's original split.,0 for scalar AUC.,10 paired seeds per shot count and mode.,Store 2000 stratified record-bootstrap CIs per simulator replicate if computationally convenient; primary noisy error bars are across simulator seeds.,Analyze each target separately. Pair ideal-shot and noisy-shot outputs by simulator seed and shot count. Do not generalize these three checkpoints to all architectures/backends.,Target train/test accuracy and loss; gap; loss AUC; confidence-family AUC; correctness AUC; cross-fitted balanced accuracy; membership advantage; TPR@10% and TPR@5%; changes from exact and ideal-shot baselines; transpiled depth/gate counts.,For each target×mode×shot: mean±SD across 10 simulator seeds. For noisy−ideal and finite-shot−exact changes: paired mean differences by simulator seed.,5000-replicate paired percentile bootstrap over the 10 simulator seeds for mode/shot differences. Keep any per-run record-bootstrap CI in separate columns. Do not combine simulator and target-model uncertainty into one unlabeled interval.,"The structural ordering is not completely erased by finite shots/backend-derived noise, although utility and absolute MIA strength may change.","Table N-1: exact, ideal-shot and noisy-shot utility/MIA mean±SD. Table N-2: paired degradation or change from ideal-shot with 95% CI.","MIA AUC versus shots and target accuracy versus shots, one figure each, with exact horizontal reference and mean±SD over simulator seeds.","With 100 non-members, 1% corresponds to one false positive and is too unstable. Use 10% primary and 5% secondary.","3 targets × 2 shot-based modes × 3 shot levels × 10 simulator seeds = 180 Aer evaluations, plus 3 exact baselines.","Require explicit noise-load success. An ideal fallback must be marked failed for the noisy condition. This is a noisy finite-shot sanity check, not hardware execution."
E7,Controlled architecture-wrapper comparison and resource accounting,Epmi; nVBH; Area Chair,P1,3 predeclared structural configurations × QNN/HQNN/QCNN/MLP-QNN × 3 target seeds = 36 targets under a common protocol.,One independently trained architecture wrapper; architectures are paired within structural configuration and target seed.,"3: 43,44,45 with fixed split.",1 fixed split.,0 for threshold AUC.,0.,5000 per target.,"Compare wrappers only within the same structure×seed block. Report total, classical and quantum trainable parameters and transpiled/native gate counts.",Train/test accuracy and loss; gap; loss AUC; confidence-family AUC; correctness AUC; balanced accuracy; membership advantage; parameter counts; gate counts; runtime.,Per wrapper×structure: mean±SD across target seeds. Global wrapper contrasts: paired differences within structure×seed.,"5000-replicate hierarchical paired bootstrap over structural configurations and seeds. With only three structures, show all structure-specific results and treat aggregate CIs as exploratory.","Complete wrappers differ in utility and leakage, but differences cannot be attributed solely to the quantum architecture; parameter/preprocessor/head information explains the comparison scope.",Table A-1: wrapper metrics and resources by structure. Table A-2: paired wrapper contrasts versus QNN.,Paired architecture comparison for gap and AUC with one line per structure×seed; separate parameter/gate-count plot.,"10% primary, 5% secondary.",36 target trainings.,"Use 'complete-wrapper comparison', not a pure causal quantum-architecture claim."
E8,AUC–generalization relationship and residual structural regression,Area Chair; Epmi; nVBH,P1,Primary inference uses the complete 36-target pre-specified factorial subset; matched targets are analyzed separately and not merged as if randomly sampled.,"One target model, with 3 target seeds nested within each of 12 structural cells.",3 per structural cell.,1 fixed split in the primary model.,0 for threshold AUC.,0.,Per-target AUC CIs already handled; regression uncertainty is over structural cells.,"Cluster-bootstrap 12 structural cells, retaining all seeds. Standardize continuous predictors within the analysis set. Do not include gap together with both train and test accuracy because gap = train accuracy − test accuracy.","Loss AUC outcome; gap, train accuracy, test accuracy, feature map, reps, depth, log gate count, log trainable parameters; Spearman/Pearson association and standardized regression coefficients.","Fit two predeclared models: M1 AUC ~ gap + feature-map + reps + depth. M2 AUC ~ train accuracy + test accuracy + feature-map + reps + depth + log(gates) + log(params), excluding gap to avoid exact collinearity. Report cell-mean sensitivity analysis.","5000-replicate cluster percentile bootstrap over structural cells for correlations, coefficients and R². If a bootstrap sample is rank-deficient, record and exclude it, and report the valid-replicate fraction.","Gap is positively associated with AUC; after conditioning on gap or train/test behavior, residual encoder coefficients are smaller and potentially uncertain, supporting a mediated interpretation.","Table R-1: correlations and two regression specifications with standardized coefficients, CIs, R² and valid-bootstrap fraction.","AUC versus retrained gap with feature-map markers, target-seed points and cell mean±SD; coefficient forest plot for M1 and M2.",AUC is the regression outcome; low-FPR TPR may be a secondary sensitivity only at 10% FPR.,No extra runs beyond E3; CPU analysis.,Inference is bounded to the pre-specified factorial subset; it is not an all-sweep causal model.
E9,Learned prediction-vector attack seed sensitivity,Epmi; 1myw; nVBH,P2,Run the existing learned prediction-vector attack on the same completed matched and/or factorial target payload set without outcome filtering.,One independently trained attacker seed on a fixed target-output dataset. Target-model metrics remain grouped by target checkpoint.,Use all available target seeds in the chosen payload set.,Fixed target splits.,"5 attacker seeds: 42,43,44,45,46.",0.,Optional 2000 evaluation-record bootstraps per attack seed; primary attack-training uncertainty is across attacker seeds.,Use identical target payloads and attack train/test protocol for every attacker seed. Pair seed-level comparisons across targets.,Attack ROC AUC; balanced accuracy; membership advantage; TPR@10% and TPR@5%; calibration of attack output if available.,Per target or target group: mean±SD across 5 attacker seeds. Compare learned attack with loss and confidence threshold attacks on the same records.,"5000-replicate percentile bootstrap over attacker seeds for aggregate attack differences; with n=5, report raw seed values and mean±SD alongside the CI.",The structural ordering is not unique to a single attacker initialization or scalar score.,Table L-1: learned-attack metrics by attacker seed and target group; comparison with threshold baselines.,Seed-level learned versus threshold AUC paired plot.,10% primary and 5% secondary.,5 attacker trainings if the existing script trains one global attacker per seed; otherwise report per-target cost before execution.,Do not build a full LiRA/reference-model bank for the rebuttal.
E10,Factor-attribution uncertainty and sensitivity,nVBH; Area Chair,P2,"Existing valid sweep rows, excluding invalid historical effSU2 repetition duplicates until corrected results are available.","One unique structural configuration cell. Duplicate rows and repeated seeds, when present, are grouped before attribution.",Historical sweep has one run per configuration; no target-seed uncertainty can be claimed.,Fixed historical split.,Not applicable.,Not applicable.,Not applicable.,"First audit the exact original attribution method. Preserve it if valid. Resample unique structural cells, stratified by dataset/architecture, and rerun attribution. Add one prespecified sensitivity method such as partial R²/ANOVA or permutation importance.",Normalized factor contribution; partial R² or equivalent sensitivity metric; ranking stability; rank correlation between original and sensitivity methods.,Report attribution by dataset/architecture and pooled only when the design supports pooling. Do not interpret configuration bootstrap as training stochasticity.,"5000-replicate stratified configuration-cell percentile bootstrap. Report median contribution and 2.5/97.5 percentiles, plus factor rank frequency.","Encoder family, repetitions, width and their interactions remain higher-ranked than lower-level variational gate/topology factors on valid data.","Table FA-1: attribution estimate, 95% configuration-bootstrap CI and rank frequency.",Contribution plot with asymmetric percentile intervals; ranking-stability heatmap or dot plot.,Not applicable.,No target retraining for valid Z/ZZ data; CPU analysis only.,The exact method cannot be finalized until the existing attribution script is audited. Any new sensitivity method must be labeled as such rather than silently replacing the paper's method.
