Structural configuration,Target seeds,Loss threshold AUC,Learned-vector AUC,Online LiRA AUC,Label-only AUC
"EffSU2, reps=1, depth=2",3,0.530 ± 0.010,0.558 ± 0.008,0.530 ± 0.032,0.528 ± 0.010
"EffSU2, reps=1, depth=6",3,0.536 ± 0.006,0.510 ± 0.027,0.542 ± 0.020,0.518 ± 0.011
"EffSU2, reps=5, depth=2",3,0.571 ± 0.006,0.517 ± 0.039,0.562 ± 0.029,0.557 ± 0.015
"EffSU2, reps=5, depth=6",3,0.603 ± 0.017,0.568 ± 0.023,0.632 ± 0.037,0.604 ± 0.014
"Z, reps=1, depth=2",3,0.541 ± 0.017,0.481 ± 0.030,0.578 ± 0.014,0.515 ± 0.020
"Z, reps=1, depth=6",3,0.599 ± 0.015,0.542 ± 0.028,0.618 ± 0.023,0.578 ± 0.013
"Z, reps=5, depth=2",3,0.646 ± 0.012,0.602 ± 0.010,0.604 ± 0.025,0.613 ± 0.008
"Z, reps=5, depth=6",3,0.684 ± 0.012,0.638 ± 0.019,0.693 ± 0.023,0.651 ± 0.007
"ZZ, reps=1, depth=2",3,0.562 ± 0.012,0.557 ± 0.017,0.583 ± 0.007,0.539 ± 0.015
"ZZ, reps=1, depth=6",3,0.604 ± 0.011,0.606 ± 0.034,0.671 ± 0.004,0.612 ± 0.030
"ZZ, reps=5, depth=2",3,0.601 ± 0.025,0.595 ± 0.020,0.566 ± 0.023,0.601 ± 0.022
"ZZ, reps=5, depth=6",3,0.679 ± 0.018,0.714 ± 0.040,0.727 ± 0.008,0.671 ± 0.025
