experiment,dataset,architecture,source_run_id,n_wires,pad_mode,fm_ent,ql_ent,ql_op,ql_rev,batch_size,epochs,extra_feats,learning_rate,weight_decay,seed,model_seed,init_seed,data_seed,split_seed,block_id,vector_train,vector_valid,vector_test,target_id,role,structural_cell_id,fm_kind,fm_op,reps,depth,feature_angle_scale
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_z_r1_d2_b01,z_r1_d2,z_r1_d2,z,NA,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_z_r1_d6_b01,z_r1_d6,z_r1_d6,z,NA,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_z_r5_d2_b01,z_r5_d2,z_r5_d2,z,NA,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_z_r5_d6_b01,z_r5_d6,z_r5_d6,z,NA,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_zz_r1_d2_b01,zz_r1_d2,zz_r1_d2,zz,NA,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_zz_r1_d6_b01,zz_r1_d6,zz_r1_d6,zz,NA,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_zz_r5_d2_b01,zz_r5_d2,zz_r5_d2,zz,NA,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_zz_r5_d6_b01,zz_r5_d6,zz_r5_d6,zz,NA,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_eff_su2_r1_d2_b01,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,cx,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_eff_su2_r1_d6_b01,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_eff_su2_r5_d2_b01,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70261,70261,70261,60261,60261,fashion_b01,200,200,2000,FASHION_QNN_eff_su2_r5_d6_b01,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_z_r1_d2_b02,z_r1_d2,z_r1_d2,z,NA,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_z_r1_d6_b02,z_r1_d6,z_r1_d6,z,NA,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_z_r5_d2_b02,z_r5_d2,z_r5_d2,z,NA,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_z_r5_d6_b02,z_r5_d6,z_r5_d6,z,NA,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_zz_r1_d2_b02,zz_r1_d2,zz_r1_d2,zz,NA,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_zz_r1_d6_b02,zz_r1_d6,zz_r1_d6,zz,NA,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_zz_r5_d2_b02,zz_r5_d2,zz_r5_d2,zz,NA,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_zz_r5_d6_b02,zz_r5_d6,zz_r5_d6,zz,NA,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_eff_su2_r1_d2_b02,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,cx,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_eff_su2_r1_d6_b02,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_eff_su2_r5_d2_b02,eff_su2_r5_d2,eff_su2_r5_d2,eff_su2,cx,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70262,70262,70262,60262,60262,fashion_b02,200,200,2000,FASHION_QNN_eff_su2_r5_d6_b02,eff_su2_r5_d6,eff_su2_r5_d6,eff_su2,cx,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_z_r1_d2_b03,z_r1_d2,z_r1_d2,z,NA,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_z_r1_d6_b03,z_r1_d6,z_r1_d6,z,NA,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_z_r5_d2_b03,z_r5_d2,z_r5_d2,z,NA,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_z_r5_d6_b03,z_r5_d6,z_r5_d6,z,NA,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_zz_r1_d2_b03,zz_r1_d2,zz_r1_d2,zz,NA,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_zz_r1_d6_b03,zz_r1_d6,zz_r1_d6,zz,NA,1,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_zz_r5_d2_b03,zz_r5_d2,zz_r5_d2,zz,NA,5,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_zz_r5_d6_b03,zz_r5_d6,zz_r5_d6,zz,NA,5,6,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_eff_su2_r1_d2_b03,eff_su2_r1_d2,eff_su2_r1_d2,eff_su2,cx,1,2,1.0
satml_fashion_factorial,fashion_mnist,qnn,-1,6,wrap,linear,linear,crz,False,16,100,False,0.05,0.0,70263,70263,70263,60263,60263,fashion_b03,200,200,2000,FASHION_QNN_eff_su2_r1_d6_b03,eff_su2_r1_d6,eff_su2_r1_d6,eff_su2,cx,1,6,1.0
