source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_role,meta_dataset,meta_architecture,meta_fm_kind,meta_n_wires,meta_reps,meta_depth,meta_ql_ent,meta_ql_op,meta_model_seed,meta_data_seed,meta_seed,meta_structural_cell_id,meta_membership_convention,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id,auc,trainable_parameters_total,quantum_gate_count_total,exact_resource_counts_available,width,train_accuracy,test_accuracy,generalization_gap,log_parameter_count,log_gate_count
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r1_d2_s43/target_attack_data.pt,ok,,SmokeFactorial_z_r1_d2_s43,0.82,0.18,0.752,0.248,0.762,0.238,0.0579999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r1_d2_s43,multiseed_factorial,z_r1_d2,MNIST,qnn,z,6,1,2,linear,crz,43,43,43,z_r1_d2,0=member,96,57,39,0,62,40,22,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d2,MNIST,qnn,z,6,1,2,linear,crz,43,43,43,z_r1_d2,0.6111111111111112,96,62,True,6,0.82,0.762,0.0579999999999999,4.574710978503383,4.143134726391533
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r1_d2_s44/target_attack_data.pt,ok,,SmokeFactorial_z_r1_d2_s44,0.82,0.18,0.75,0.25,0.76,0.24,0.0599999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r1_d2_s44,multiseed_factorial,z_r1_d2,MNIST,qnn,z,6,1,2,linear,crz,44,43,44,z_r1_d2,0=member,96,57,39,0,62,40,22,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d2,MNIST,qnn,z,6,1,2,linear,crz,44,43,44,z_r1_d2,0.6144444444444445,96,62,True,6,0.82,0.76,0.0599999999999999,4.574710978503383,4.143134726391533
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r1_d2_s45/target_attack_data.pt,ok,,SmokeFactorial_z_r1_d2_s45,0.82,0.18,0.748,0.252,0.758,0.242,0.0619999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r1_d2_s45,multiseed_factorial,z_r1_d2,MNIST,qnn,z,6,1,2,linear,crz,45,43,45,z_r1_d2,0=member,96,57,39,0,62,40,22,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d2,MNIST,qnn,z,6,1,2,linear,crz,45,43,45,z_r1_d2,0.6811111111111111,96,62,True,6,0.82,0.758,0.0619999999999999,4.574710978503383,4.143134726391533
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r1_d6_s43/target_attack_data.pt,ok,,SmokeFactorial_z_r1_d6_s43,0.82,0.18,0.74,0.26,0.75,0.25,0.0699999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r1_d6_s43,multiseed_factorial,z_r1_d6,MNIST,qnn,z,6,1,6,linear,crz,43,43,43,z_r1_d6,0=member,168,100,68,0,102,68,34,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d6,MNIST,qnn,z,6,1,6,linear,crz,43,43,43,z_r1_d6,0.63,168,102,True,6,0.82,0.75,0.0699999999999999,5.1298987149230735,4.634728988229636
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r1_d6_s44/target_attack_data.pt,ok,,SmokeFactorial_z_r1_d6_s44,0.82,0.18,0.738,0.262,0.748,0.252,0.0719999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r1_d6_s44,multiseed_factorial,z_r1_d6,MNIST,qnn,z,6,1,6,linear,crz,44,43,44,z_r1_d6,0=member,168,100,68,0,102,68,34,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d6,MNIST,qnn,z,6,1,6,linear,crz,44,43,44,z_r1_d6,0.5911111111111111,168,102,True,6,0.82,0.748,0.0719999999999999,5.1298987149230735,4.634728988229636
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r1_d6_s45/target_attack_data.pt,ok,,SmokeFactorial_z_r1_d6_s45,0.82,0.18,0.736,0.264,0.746,0.254,0.0739999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r1_d6_s45,multiseed_factorial,z_r1_d6,MNIST,qnn,z,6,1,6,linear,crz,45,43,45,z_r1_d6,0=member,168,100,68,0,102,68,34,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d6,MNIST,qnn,z,6,1,6,linear,crz,45,43,45,z_r1_d6,0.7688888888888888,168,102,True,6,0.82,0.746,0.0739999999999999,5.1298987149230735,4.634728988229636
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d2_s43/target_attack_data.pt,ok,,SmokeFactorial_z_r5_d2_s43,0.84,0.16,0.747,0.253,0.757,0.243,0.0829999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r5_d2_s43,multiseed_factorial,z_r5_d2,MNIST,qnn,z,6,5,2,linear,crz,43,43,43,z_r5_d2,0=member,96,57,39,0,110,72,38,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d2,MNIST,qnn,z,6,5,2,linear,crz,43,43,43,z_r5_d2,0.83,96,110,True,6,0.84,0.757,0.0829999999999999,4.574710978503383,4.709530201312334
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d2_s44/target_attack_data.pt,ok,,SmokeFactorial_z_r5_d2_s44,0.84,0.16,0.745,0.255,0.755,0.245,0.0849999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r5_d2_s44,multiseed_factorial,z_r5_d2,MNIST,qnn,z,6,5,2,linear,crz,44,43,44,z_r5_d2,0=member,96,57,39,0,110,72,38,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d2,MNIST,qnn,z,6,5,2,linear,crz,44,43,44,z_r5_d2,0.7577777777777778,96,110,True,6,0.84,0.755,0.0849999999999999,4.574710978503383,4.709530201312334
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d2_s45/target_attack_data.pt,ok,,SmokeFactorial_z_r5_d2_s45,0.84,0.16,0.743,0.257,0.753,0.247,0.0869999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r5_d2_s45,multiseed_factorial,z_r5_d2,MNIST,qnn,z,6,5,2,linear,crz,45,43,45,z_r5_d2,0=member,96,57,39,0,110,72,38,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d2,MNIST,qnn,z,6,5,2,linear,crz,45,43,45,z_r5_d2,0.6444444444444445,96,110,True,6,0.84,0.753,0.0869999999999999,4.574710978503383,4.709530201312334
/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s43/target_attack_data.pt,ok,,SmokeFactorial_z_r5_d6_s43,0.84,0.16,0.735,0.265,0.745,0.255,0.0949999999999999,0=member,30,30,0.0333333333333333,SmokeFactorial_z_r5_d6_s43,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,43,43,43,z_r5_d6,0=member,168,100,68,0,150,100,50,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,43,43,43,z_r5_d6,0.8233333333333334,168,150,True,6,0.84,0.745,0.0949999999999999,5.1298987149230735,5.017279836814924
