target_id,experiment,dataset,architecture,role,seed,model_seed,data_seed,structural_cell_id,fm_kind,reps,depth,attack,access,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,anchors,binary_steps,mean_label_queries,initial_accuracy,score_definition,scope_note,ci_method,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,sample_score_file
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,43,43,43,eff_su2_r1_d2,eff_su2,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.52485,0.468320625,0.5812331249999999,5000,0.07,0.05,0.115,0.1,200,200,16,10,120.6,0.7475,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.48,-0.0399999999999999,0.4,0.44,4.885988712310791,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r1_d2_s43.csv
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,44,44,43,eff_su2_r1_d2,eff_su2,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.53885,0.483099375,0.593800625,5000,0.095,0.05,0.145,0.1,200,200,16,10,115.8,0.7175,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.4925,-0.015,0.5,0.515,4.328711986541748,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r1_d2_s44.csv
MNIST_QNN_eff_su2_r1_d2_s45,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,45,45,43,eff_su2_r1_d2,eff_su2,1,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5191250000000001,0.462999375,0.5749540624999999,5000,0.1,0.05,0.155,0.1,200,200,16,10,120.2,0.745,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.51,0.0199999999999999,0.355,0.335,4.685581684112549,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r1_d2_s45.csv
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,43,43,43,eff_su2_r1_d6,eff_su2,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5312125,0.4738590625,0.5873634375,5000,0.115,0.05,0.145,0.095,200,200,16,10,128.2,0.795,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.495,-0.01,0.45,0.46,3.425246000289917,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r1_d6_s43.csv
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,44,44,43,eff_su2_r1_d6,eff_su2,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5138499999999999,0.458148125,0.570440625,5000,0.11,0.04,0.145,0.085,200,200,16,10,125.4,0.7775,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.4975,-0.005,0.325,0.33,16.089805603027344,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r1_d6_s44.csv
MNIST_QNN_eff_su2_r1_d6_s45,multiseed_factorial,MNIST,QNN,eff_su2_r1_d6,45,45,43,eff_su2_r1_d6,eff_su2,1,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5097125,0.4552,0.566676875,5000,0.06,0.045,0.1,0.09,200,200,16,10,129.0,0.8,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5375,0.075,0.64,0.565,4.352941989898682,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r1_d6_s45.csv
MNIST_QNN_eff_su2_r5_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r5_d2,43,43,43,eff_su2_r5_d2,eff_su2,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5395,0.4846478125,0.5956049999999999,5000,0.05,0.045,0.125,0.1,200,200,16,10,127.4,0.79,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.535,0.07,0.78,0.71,0.8444445133209229,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r5_d2_s43.csv
MNIST_QNN_eff_su2_r5_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r5_d2,44,44,43,eff_su2_r5_d2,eff_su2,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.565125,0.5067621875,0.621625,5000,0.045,0.05,0.125,0.095,200,200,16,10,130.2,0.8075,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.4975,-0.005,0.595,0.6,3.1882264614105225,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r5_d2_s44.csv
MNIST_QNN_eff_su2_r5_d2_s45,multiseed_factorial,MNIST,QNN,eff_su2_r5_d2,45,45,43,eff_su2_r5_d2,eff_su2,5,2,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.5663,0.5113578125,0.6215278125,5000,0.095,0.05,0.125,0.095,200,200,16,10,127.8,0.7925,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.585,0.17,0.87,0.7,0.216441124677658,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r5_d2_s45.csv
MNIST_QNN_eff_su2_r5_d6_s43,multiseed_factorial,MNIST,QNN,eff_su2_r5_d6,43,43,43,eff_su2_r5_d6,eff_su2,5,6,label_only_chord_boundary_l2,predicted class labels only; candidate labels and held-out validation anchors,0.6074499999999999,0.550724375,0.6611503124999999,5000,0.085,0.05,0.15,0.1,200,200,16,10,140.6,0.8725,minimum observed input-space distance to a changed predicted label along nearest differently-classified validation-anchor chords; initially misclassified samples receive distance zero,genuine class-label-only decision-boundary proxy; not gradient-refined HopSkipJump/QEBA and not a certified minimum boundary distance,stratified percentile bootstrap over member/non-member records,0.5975,0.195,0.935,0.74,0.5457605719566345,5,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/label_only_boundary/sample_scores/MNIST_QNN_eff_su2_r5_d6_s43.csv
